,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
0,BIDU,20211013,163.85,161.46,164.33,160.72,159.47,2.75,2580069,421481619.88,163.36
1,BIDU,20211012,159.47,161.4,164.23,158.85,162.16,-1.66,2408508,387085049.18,160.72
2,BIDU,20211011,162.16,164.9,166.92,162.16,162.09,0.04,3637188,597129884.12,164.17
3,BIDU,20211008,162.09,158.0,162.3,156.9,156.55,3.54,3651890,587810770.72,160.96
4,BIDU,20211007,156.55,154.64,158.3,153.7,149.36,4.81,3967590,621340067.6,156.6
5,BIDU,20211006,149.36,146.84,150.12,145.58,149.8,-0.29,2120021,315436016.57,148.79
6,BIDU,20211005,149.8,146.3,150.48,145.98,146.39,2.33,2331605,347950333.84,149.23
7,BIDU,20211004,146.39,149.02,149.02,144.51,151.58,-3.42,4539527,665166041.84,146.53
8,BIDU,20211001,151.58,153.59,155.55,150.66,153.75,-1.41,2490671,378714520.6,152.05
9,BIDU,20210930,153.75,151.95,155.0,151.75,151.92,1.2,2863542,440272188.32,153.75
10,BIDU,20210929,151.92,154.77,156.15,151.75,154.02,-1.36,2136750,327586638.22,153.31
11,BIDU,20210928,154.02,155.99,157.1,153.12,156.94,-1.86,3125332,482270324.71,154.31
12,BIDU,20210927,156.94,156.25,157.38,153.05,156.57,0.24,3146066,490328260.25,155.85
13,BIDU,20210924,156.57,158.55,159.46,155.91,160.5,-2.45,3248729,510379581.73,157.1
14,BIDU,20210923,160.5,160.95,162.28,157.51,159.88,0.39,2926802,466684754.45,159.45
15,BIDU,20210922,159.88,158.11,161.75,158.11,156.71,2.02,3629846,581622239.37,160.23
16,BIDU,20210921,156.71,156.0,158.23,155.5,154.5,1.43,2909769,456933247.1,157.03
17,BIDU,20210920,154.5,158.12,158.59,152.52,162.21,-4.75,6958457,1077200526.24,154.8
18,BIDU,20210917,162.21,163.27,163.7,160.8,159.56,1.66,4739668,768819650.41,162.21
19,BIDU,20210916,159.56,158.83,160.43,157.69,161.73,-1.34,3034055,483418410.39,159.33
20,BIDU,20210915,161.73,159.0,162.41,157.99,160.52,0.75,4721902,758887137.81,160.72
21,BIDU,20210914,160.52,162.44,163.95,160.11,163.26,-1.68,3421805,552210548.72,161.38
22,BIDU,20210910,164.1,166.53,168.74,163.42,163.65,0.27,4041860,671430145.53,166.12
23,BIDU,20210909,163.65,159.41,165.25,158.67,162.68,0.6,3674989,599980945.88,163.26
24,BIDU,20210908,162.68,166.65,167.78,161.3,166.68,-2.4,4476387,730575454.92,163.21
25,BIDU,20210907,166.68,167.57,169.8,165.95,162.98,2.27,6691945,1121088161.96,167.53
26,BIDU,20210903,162.98,161.94,164.68,161.51,162.37,0.38,3769587,613589284.2,162.77
27,BIDU,20210902,162.37,165.86,166.38,161.24,165.18,-1.7,6271567,1025012430.06,163.44
28,BIDU,20210901,165.18,158.88,166.49,158.58,157.02,5.2,9263942,1518789106.95,163.95
29,BIDU,20210831,157.02,155.5,157.25,153.36,153.18,2.51,5783590,901142950.81,155.81
30,BIDU,20210830,153.18,154.2,154.61,150.16,153.26,-0.05,5449320,829524371.8,152.23
31,BIDU,20210827,153.26,153.55,155.07,151.89,154.47,-0.78,3582486,549048580.12,153.26
32,BIDU,20210826,154.47,154.99,158.37,153.78,155.13,-0.43,4308379,670775447.13,155.69
33,BIDU,20210825,155.13,152.46,155.32,150.09,155.08,0.03,4554984,697078398.97,153.04
34,BIDU,20210824,155.08,149.29,155.83,149.27,142.76,8.63,10164598,1558878325.37,153.36
35,BIDU,20210823,142.76,139.7,143.3,137.17,137.65,3.71,6237469,877002487.58,140.6
36,BIDU,20210820,137.65,139.78,141.84,136.43,137.33,0.23,7138055,989760564.88,138.66
37,BIDU,20210819,137.33,137.98,139.62,135.89,142.96,-3.94,8130461,1117511538.3,137.45
38,BIDU,20210818,142.96,144.1,145.58,141.58,142.38,0.41,4876637,700481650.44,143.64
39,BIDU,20210817,142.38,141.59,144.13,140.11,146.57,-2.86,7568406,1074758381.28,142.01
40,BIDU,20210816,146.57,149.5,149.98,145.91,152.45,-3.86,6622649,976330849.75,147.42
41,BIDU,20210813,152.45,157.72,157.72,152.1,159.63,-4.5,7942527,1220424871.24,153.66
42,BIDU,20210812,159.63,160.26,161.0,156.8,164.95,-3.23,6704555,1064210059.46,158.73
43,BIDU,20210811,164.95,167.41,167.41,162.69,165.55,-0.36,3720038,612368475.31,164.61
44,BIDU,20210810,165.55,168.54,169.0,164.95,166.53,-0.59,2166981,360074902.65,166.16
45,BIDU,20210809,166.53,164.75,167.56,163.57,164.26,1.38,2568168,427249417.07,166.36
46,BIDU,20210806,164.26,165.99,166.79,163.34,165.86,-0.96,2700525,444305522.95,164.53
47,BIDU,20210805,165.86,163.59,166.16,162.8,163.82,1.25,3787341,625018484.62,165.03
48,BIDU,20210804,163.82,165.19,167.42,163.58,164.09,-0.16,3264046,537071351.31,164.54
49,BIDU,20210803,164.09,165.0,165.0,161.51,166.61,-1.51,3175788,518373395.14,163.23
50,BIDU,20210802,166.61,166.0,167.99,164.23,164.01,1.59,2853586,475518146.74,166.64
51,BIDU,20210730,164.01,164.25,166.6,162.48,167.06,-1.83,3212020,527705367.54,164.29
52,BIDU,20210729,167.06,169.68,170.0,163.57,166.78,0.17,5118324,851839131.68,166.43
53,BIDU,20210728,166.78,163.99,168.12,161.93,157.83,5.67,7092703,1176995123.91,165.94
54,BIDU,20210727,157.83,155.25,161.5,153.14,162.37,-2.8,12896458,2020582347.97,156.68
55,BIDU,20210726,162.37,165.17,168.39,162.05,172.66,-5.96,10128188,1662081328.93,164.1
56,BIDU,20210723,172.66,172.65,173.52,167.84,178.49,-3.27,7534633,1285037685.86,170.55
57,BIDU,20210722,178.49,181.41,181.41,177.25,180.51,-1.12,2273618,405798978.43,178.48
58,BIDU,20210721,180.51,177.86,181.3,177.01,177.89,1.47,1956550,351468381.04,179.64
59,BIDU,20210720,177.89,177.16,178.97,172.63,176.45,0.82,3529144,622286938.52,176.33
60,BIDU,20210719,176.45,175.31,177.55,172.7,179.58,-1.74,3826089,672171562.48,175.68
61,BIDU,20210716,179.58,185.45,185.5,179.13,185.52,-3.2,3764651,679660303.45,180.54
62,BIDU,20210715,185.52,182.78,186.29,181.71,181.34,2.31,3675903,678442338.77,184.56
63,BIDU,20210714,181.34,185.11,185.95,180.61,184.59,-1.76,4339863,790889255.35,182.24
64,BIDU,20210713,184.59,183.03,187.48,182.58,180.39,2.33,5033301,932417500.26,185.25
65,BIDU,20210712,180.39,180.3,181.5,177.99,181.36,-0.53,3346580,601268349.04,179.67
66,BIDU,20210709,181.36,180.1,181.91,177.66,175.88,3.12,4620481,833183662.05,180.32
67,BIDU,20210708,175.88,176.76,177.46,172.77,182.71,-3.74,8165906,1433163865.25,175.51
68,BIDU,20210707,182.71,189.0,189.31,182.22,186.95,-2.27,5638641,1037624408.41,184.02
69,BIDU,20210706,186.95,191.55,191.7,186.77,196.7,-4.96,6453297,1214314379.7,188.17
70,BIDU,20210702,196.7,200.0,200.68,196.25,201.46,-2.36,3442796,680095430.31,197.54
71,BIDU,20210701,201.46,203.91,205.41,199.68,203.9,-1.2,2861668,577517511.58,201.81
72,BIDU,20210630,203.9,205.16,207.38,203.74,207.67,-1.82,3194300,655166901.5,205.1
73,BIDU,20210629,207.67,203.95,208.92,201.33,205.18,1.21,4617649,952789994.65,206.34
74,BIDU,20210628,205.18,205.09,209.17,202.95,202.64,1.25,6386856,1312060194.86,205.43
75,BIDU,20210625,202.64,199.0,203.03,197.71,194.77,4.04,7288078,1463742031.25,200.84
76,BIDU,20210624,194.77,190.84,195.71,190.45,189.17,2.96,4378738,848774179.83,193.84
77,BIDU,20210623,189.17,190.14,192.31,188.85,187.61,0.83,3034716,577389921.71,190.26
78,BIDU,20210622,187.61,184.81,188.18,184.63,185.56,1.1,2632091,491856476.29,186.87
79,BIDU,20210621,185.56,185.04,185.59,182.7,186.34,-0.42,2800318,516296589.88,184.37
80,BIDU,20210618,186.34,184.74,187.49,182.6,185.56,0.42,8174402,1516016420.52,185.46
81,BIDU,20210617,185.56,184.44,186.68,183.83,184.61,0.51,3096883,574056535.46,185.37
82,BIDU,20210616,184.61,185.06,185.69,182.65,186.3,-0.91,4132527,761833418.71,184.35
83,BIDU,20210615,186.3,189.82,190.11,186.1,189.83,-1.86,3076883,575223615.31,186.95
84,BIDU,20210614,189.83,188.07,190.77,186.59,187.69,1.14,2299489,435537036.53,189.41
85,BIDU,20210611,187.69,190.71,190.95,186.67,190.21,-1.32,3274197,615162353.33,187.88
86,BIDU,20210610,190.21,187.79,190.8,187.11,186.73,1.86,3301206,625937411.1,189.61
87,BIDU,20210609,186.73,188.84,189.28,185.74,188.58,-0.98,5065074,948307973.14,187.22
88,BIDU,20210608,188.58,190.0,190.3,187.0,188.92,-0.18,3040107,572899955.86,188.45
89,BIDU,20210607,188.92,191.98,192.5,188.5,192.99,-2.11,4248402,804864049.79,189.45
90,BIDU,20210604,192.99,190.5,193.5,189.88,189.97,1.59,4260539,818929747.25,192.21
91,BIDU,20210603,189.97,193.31,195.0,188.3,197.85,-3.98,6772692,1290353597.92,190.52
92,BIDU,20210602,197.85,202.24,203.0,195.8,201.82,-1.97,4399133,871671091.32,198.15
93,BIDU,20210601,201.82,200.71,204.25,198.68,196.27,2.83,5598801,1126908245.22,201.28
94,BIDU,20210528,196.27,194.18,197.22,193.5,194.81,0.75,3709394,726586118.45,195.88
95,BIDU,20210527,194.81,195.69,195.89,191.5,194.88,-0.04,3206770,621575925.35,193.83
96,BIDU,20210526,194.88,194.78,195.95,193.5,192.77,1.09,3481964,677782781.83,194.66
97,BIDU,20210525,192.77,192.96,196.02,191.8,188.96,2.02,4507590,873410922.55,193.76
98,BIDU,20210524,188.96,189.01,190.54,187.6,189.53,-0.3,3921253,742175947.44,189.27
99,BIDU,20210521,189.53,193.91,193.99,189.25,193.31,-1.96,4026542,768807796.77,190.94
100,BIDU,20210520,193.31,190.37,194.2,189.79,189.16,2.19,5151414,991905280.84,192.55
101,BIDU,20210519,189.16,184.81,189.99,184.15,188.88,0.15,5071867,953251367.13,187.95
102,BIDU,20210518,188.88,197.59,197.75,187.2,189.2,-0.17,15537891,2971741450.89,191.26
103,BIDU,20210517,189.2,188.49,191.86,185.68,186.21,1.61,8173445,1541336815.28,188.58
104,BIDU,20210514,186.21,181.35,187.82,177.58,179.3,3.85,9578899,1763412085.17,184.09
105,BIDU,20210513,179.3,186.79,189.5,177.38,183.29,-2.18,6815957,1239044196.01,181.79
106,BIDU,20210512,183.29,188.19,190.62,182.66,189.72,-3.39,5974969,1107649372.92,185.38
107,BIDU,20210511,189.72,178.19,189.99,176.9,183.44,3.42,8178402,1517401978.54,185.54
108,BIDU,20210510,183.44,190.04,190.32,182.5,191.55,-4.23,8934395,1648981973.81,184.57
109,BIDU,20210507,191.55,194.2,198.49,189.51,192.33,-0.41,7417215,1429799550.13,192.77
110,BIDU,20210506,192.33,195.71,196.65,190.0,195.63,-1.69,8084184,1557085868.48,192.61
111,BIDU,20210505,195.63,201.42,203.33,194.95,199.98,-2.18,5847281,1162331931.3,198.78
112,BIDU,20210504,199.98,205.8,207.75,199.23,204.94,-2.42,8289262,1670142888.77,201.48
113,BIDU,20210503,204.94,210.55,212.71,204.32,210.33,-2.56,5685781,1177130140.18,207.03
114,BIDU,20210430,210.33,210.49,214.42,209.66,212.29,-0.92,3859660,816104264.84,211.44
115,BIDU,20210429,212.29,218.79,218.87,210.73,215.83,-1.64,6089945,1295678489.26,212.76
116,BIDU,20210428,215.83,216.5,219.56,215.14,216.4,-0.26,3847379,836783002.44,217.49
117,BIDU,20210427,216.4,218.2,221.74,215.92,216.46,-0.03,4606914,1003864066.87,217.9
118,BIDU,20210426,216.46,218.1,219.32,214.2,220.94,-2.03,5801793,1258240069.52,216.87
119,BIDU,20210423,220.94,218.5,222.68,217.25,214.56,2.97,5355234,1178950534.47,220.15
120,BIDU,20210422,214.56,215.79,220.06,213.34,214.64,-0.04,5447715,1179566000.08,216.52
121,BIDU,20210421,214.64,206.4,214.65,205.51,207.99,3.2,4386371,927943364.61,211.55
122,BIDU,20210420,207.99,209.99,210.44,204.88,209.9,-0.91,6267442,1299904448.71,207.41
123,BIDU,20210419,209.9,216.21,218.0,208.45,213.56,-1.71,6550379,1385125522.82,211.46
124,BIDU,20210416,213.56,212.29,215.47,209.03,210.23,1.58,5732219,1221106583.02,213.03
125,BIDU,20210415,210.23,216.94,217.82,208.3,216.26,-2.79,8873469,1875604664.16,211.37
126,BIDU,20210414,216.26,218.91,222.95,215.21,216.56,-0.14,6113793,1339837735.95,219.15
127,BIDU,20210413,216.56,209.6,217.39,207.69,214.14,1.13,9144242,1956256952.63,213.93
128,BIDU,20210412,214.14,217.49,219.12,211.56,219.67,-2.52,8140207,1745107344.91,214.38
129,BIDU,20210409,219.67,222.95,224.53,217.08,226.77,-3.13,7213270,1592396435.91,220.76
130,BIDU,20210408,226.77,223.5,228.46,221.74,222.0,2.15,7011766,1579884173.47,225.32
131,BIDU,20210407,222.0,223.8,226.2,220.5,226.55,-2.01,7073695,1576435179.27,222.86
132,BIDU,20210406,226.55,223.3,228.53,221.27,222.29,1.92,8255012,1867267204.38,226.2
133,BIDU,20210405,222.29,222.0,223.49,216.08,219.7,1.18,9303473,2048438685.14,220.18
134,BIDU,20210401,219.7,224.0,227.39,215.62,217.55,0.99,14759145,3256416574.79,220.64
135,BIDU,20210331,217.55,222.0,222.11,213.66,218.23,-0.31,20295321,4406010682.96,217.09
136,BIDU,20210330,218.23,208.75,223.5,205.85,204.7,6.61,40105571,8689140664.48,216.66
137,BIDU,20210329,204.7,212.49,215.39,195.95,208.61,-1.87,57333719,11617651881.78,202.63
138,BIDU,20210326,208.61,190.84,209.32,174.05,204.57,1.97,99410750,19024394284.7,191.37
139,BIDU,20210325,204.57,224.98,235.57,199.36,239.19,-14.47,23703551,5132193307.61,216.52
140,BIDU,20210324,239.19,258.12,260.0,236.84,261.55,-8.55,11739848,2867327679.09,244.24
141,BIDU,20210323,261.55,258.22,263.71,249.2,266.13,-1.72,15261243,3925455566.49,257.22
142,BIDU,20210322,266.13,262.36,267.15,256.68,257.47,3.36,7638488,2011152782.5,263.29
143,BIDU,20210319,257.47,263.0,264.26,255.03,264.85,-2.79,9521406,2470525975.02,259.47
144,BIDU,20210318,264.85,269.28,271.84,263.37,277.13,-4.43,8968070,2396276644.31,267.2
145,BIDU,20210317,277.13,260.0,278.21,256.0,266.78,3.88,10223321,2752334747.61,269.22
146,BIDU,20210316,266.78,264.01,274.06,262.99,265.53,0.47,7142215,1912840734.44,267.82
147,BIDU,20210315,265.53,262.97,270.75,259.38,264.25,0.48,6303067,1665505468.83,264.24
148,BIDU,20210312,264.25,264.11,266.59,257.56,272.38,-2.98,6203699,1631528914.81,262.99
149,BIDU,20210311,272.38,263.68,272.79,260.98,255.14,6.76,11804247,3157515078.97,267.49
150,BIDU,20210310,255.14,271.02,272.49,246.48,264.28,-3.46,12505243,3189771231.7,255.07
151,BIDU,20210309,264.28,249.37,265.65,246.0,232.68,13.58,12611930,3228378004.85,255.98
152,BIDU,20210308,232.68,254.0,256.04,226.78,261.72,-11.1,11342590,2733734328.85,241.01
153,BIDU,20210305,261.72,266.25,271.0,233.9,260.59,0.43,15709360,3953255888.29,251.65
154,BIDU,20210304,260.59,272.22,279.16,253.54,277.8,-6.2,19982532,5294541704.92,264.96
155,BIDU,20210303,277.8,304.2,311.18,271.89,301.93,-7.99,12251215,3513930239.94,286.82
156,BIDU,20210302,301.93,296.88,308.5,294.0,295.58,2.15,10053665,3029844770.25,301.37
157,BIDU,20210301,295.58,303.34,303.9,291.08,283.46,4.28,9732484,2874582775.9,295.36
158,BIDU,20210226,283.46,288.61,295.49,274.18,294.2,-3.65,15140704,4309859079.68,284.65
159,BIDU,20210225,294.2,303.99,309.51,288.8,304.01,-3.23,13171286,3914788591.57,297.22
160,BIDU,20210224,304.01,309.76,313.5,300.0,322.61,-5.77,12180805,3736235979.82,306.73
161,BIDU,20210223,322.61,315.0,324.8,290.0,335.79,-3.93,16710422,5198381513.27,311.09
162,BIDU,20210222,335.79,322.45,354.82,317.24,339.91,-1.21,20491043,6973027960.23,340.3
163,BIDU,20210219,339.91,305.63,346.0,301.19,298.01,14.06,16829778,5470610556.3,325.06
164,BIDU,20210218,298.01,296.3,298.49,288.15,308.68,-3.46,13585364,3983622836.21,293.23
165,BIDU,20210217,308.68,318.01,321.5,306.03,326.2,-5.37,8017742,2497477724.77,311.49
166,BIDU,20210216,326.2,317.14,326.5,315.85,313.0,4.22,7407051,2385104790.72,322.0
167,BIDU,20210212,313.0,303.0,319.0,298.2,309.59,1.1,4953262,1540382257.85,310.98
168,BIDU,20210211,309.59,308.97,312.2,301.11,304.05,1.82,5514238,1697064644.0,307.76
169,BIDU,20210210,304.05,309.92,322.89,296.6,295.04,3.05,16926786,5221004343.32,308.45
170,BIDU,20210209,295.04,279.6,304.24,279.04,276.6,6.67,10903118,3219087039.76,295.24
171,BIDU,20210208,276.6,275.0,282.0,272.88,270.13,2.4,6380469,1769717189.07,277.36
172,BIDU,20210205,270.13,261.56,271.53,256.72,258.43,4.53,8124852,2172925856.1,267.44
173,BIDU,20210204,258.43,255.36,261.36,255.11,251.28,2.85,6792168,1756757167.96,258.64
174,BIDU,20210203,251.28,249.07,255.38,248.13,250.52,0.3,5460567,1378306685.59,252.41
175,BIDU,20210202,250.52,245.09,250.87,242.88,241.89,3.57,4797949,1189536831.55,247.93
176,BIDU,20210201,241.89,239.35,243.55,235.88,235.02,2.92,4300567,1031516841.36,239.86
177,BIDU,20210129,235.02,240.3,241.8,233.1,244.87,-4.02,7284996,1720512075.31,236.17
178,BIDU,20210128,244.87,233.11,245.95,230.08,237.18,3.24,6700836,1604854242.5,239.5
179,BIDU,20210127,237.18,236.75,244.44,233.4,248.3,-4.48,9143117,2181576151.29,238.6
180,BIDU,20210126,248.3,254.57,256.88,246.68,254.87,-2.58,5734422,1430312278.79,249.43
181,BIDU,20210125,254.87,261.12,261.9,242.13,252.75,0.84,8336742,2108224495.56,252.88
182,BIDU,20210122,252.75,253.39,259.7,251.08,251.91,0.33,6659090,1695388332.18,254.6
183,BIDU,20210121,251.91,263.5,263.94,250.68,260.9,-3.45,7752719,1983651075.01,255.87
184,BIDU,20210120,260.9,260.0,264.94,253.32,250.42,4.18,13889961,3604414460.49,259.5
185,BIDU,20210119,250.42,250.0,257.43,247.88,238.87,4.84,9865445,2486697976.98,252.06
186,BIDU,20210115,238.87,245.27,251.21,237.86,249.0,-4.07,8342762,2022322300.38,242.4
187,BIDU,20210114,249.0,240.1,258.73,240.0,236.94,5.09,15794125,3960997710.8,250.79
188,BIDU,20210113,236.94,242.01,243.43,230.45,239.45,-1.05,11099051,2627239713.63,236.71
189,BIDU,20210112,239.45,227.0,244.2,221.62,219.55,9.06,17461606,4124942962.26,236.23
190,BIDU,20210111,219.55,244.51,248.98,218.41,240.25,-8.62,17294883,3965256800.96,229.27
191,BIDU,20210108,240.25,227.06,241.0,218.0,207.89,15.57,22589375,5211393660.81,230.7
192,BIDU,20210107,207.89,207.71,213.39,204.3,203.97,1.92,10960266,2289453905.46,208.89
193,BIDU,20210106,203.97,212.78,213.34,203.62,214.0,-4.69,8361281,1739603893.68,208.05
194,BIDU,20210105,214.0,213.43,218.11,212.13,216.8,-1.29,7370078,1579516866.26,214.31
195,BIDU,20210104,216.8,219.51,227.58,213.76,216.24,0.26,12383336,2719898209.04,219.64
